"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2020","7.376","7.478","7.478","7.340","240.14K","-1.28%"
"08/13/2020","7.472","7.570","7.570","7.452","317.23K","-1.01%"
"08/12/2020","7.548","7.440","7.598","7.370","406.92K","1.34%"
"08/11/2020","7.448","7.364","7.520","7.352","434.19K","1.58%"
"08/10/2020","7.332","7.224","7.332","7.172","388.10K","2.40%"
"08/07/2020","7.160","7.240","7.246","7.150","673.21K","-1.59%"
"08/06/2020","7.276","7.392","7.516","7.276","452.18K","-2.96%"
"08/05/2020","7.498","7.334","7.498","7.292","646.50K","2.97%"
"08/04/2020","7.282","7.400","7.448","7.196","424.66K","-0.55%"
"08/03/2020","7.322","7.268","7.342","7.076","857.89K","1.22%"
"07/31/2020","7.234","7.438","7.442","7.234","667.14K","-1.66%"
"07/30/2020","7.356","7.600","7.672","7.226","1.05M","-3.52%"
"07/29/2020","7.624","7.150","7.730","7.126","1.91M","8.76%"
"07/28/2020","7.010","7.170","7.178","6.992","388.93K","-1.27%"
"07/27/2020","7.100","7.120","7.132","6.986","570.72K","-0.50%"
"07/24/2020","7.136","7.000","7.162","6.990","794.57K","0.00%"
"07/23/2020","7.136","7.150","7.224","7.076","605.12K","0.39%"
"07/22/2020","7.108","7.090","7.174","6.950","1.11M","0.25%"
"07/21/2020","7.090","7.250","7.356","7.090","741.30K","-1.09%"
"07/20/2020","7.168","7.200","7.216","7.100","726.52K","-0.42%"
"07/17/2020","7.198","7.430","7.430","7.188","1.47M","-1.59%"
"07/16/2020","7.314","7.350","7.362","7.260","409.63K","-1.00%"
"07/15/2020","7.388","7.468","7.488","7.278","891.87K","0.82%"
"07/14/2020","7.328","7.392","7.464","7.206","587.50K","-2.66%"
"07/13/2020","7.528","7.366","7.582","7.352","852.10K","3.89%"
"07/10/2020","7.246","7.120","7.294","7.084","622.43K","1.00%"
"07/09/2020","7.174","7.328","7.344","7.142","532.85K","-0.94%"
"07/08/2020","7.242","7.326","7.400","7.226","622.80K","-2.48%"
"07/07/2020","7.426","7.302","7.448","7.302","659.98K","0.49%"
"07/06/2020","7.390","7.332","7.468","7.282","721.64K","3.21%"
"07/03/2020","7.160","7.290","7.316","7.082","550.98K","-1.73%"
